============================================================
SIMULACION: IoT + CLOUD + BLOCKCHAIN
Generado: 05/05/2026 16:33
     Hash ant.: CORROMPIDO_db0a85375ad3bfb10f7083a49a2cfed6d8...
     Hash      : 32a998b5d3738a348a3e97662fd959b333e0a5bdbe5ec...

#13  2026-05-05 12:00  [OK]
     T.Int=27.6C  T.Ext=14.6C  Hum=56.5%
     Hash ant.: 32a998b5d3738a348a3e97662fd959b333e0a5bdbe5ec...
     Hash      : 8355a83798f08cb5c7a61658f4fcd9e8becd1461a3612...

#14  2026-05-05 13:00  [OK]
     T.Int=17.3C  T.Ext=25.0C  Hum=68.0%
     Hash ant.: 8355a83798f08cb5c7a61658f4fcd9e8becd1461a3612...
     Hash      : 1214ebcd84d85b99eb0049129cecb77e168548a204d46...

#15  2026-05-05 14:00  [OK]
     T.Int=18.7C  T.Ext=8.9C  Hum=34.3%
     Hash ant.: 1214ebcd84d85b99eb0049129cecb77e168548a204d46...
     Hash      : 5740190db7bbe5fdb64398193a41a0314be4dbd116143...

#16  2026-05-05 15:00  [OK]
     T.Int=24.0C  T.Ext=23.5C  Hum=43.0%
     Hash ant.: 5740190db7bbe5fdb64398193a41a0314be4dbd116143...
     Hash      : eb03e801c718d5c7c6f7af779b9ff7018f99771f6553b...

#17  2026-05-05 16:00  [OK]
     T.Int=17.3C  T.Ext=11.4C  Hum=40.0%
     Hash ant.: eb03e801c718d5c7c6f7af779b9ff7018f99771f6553b...
     Hash      : aee2ac4e63092375acf468b44f8d75168452b8b63fd5c...

#18  2026-05-05 17:00  [OK]
     T.Int=26.5C  T.Ext=19.5C  Hum=72.8%
     Hash ant.: aee2ac4e63092375acf468b44f8d75168452b8b63fd5c...
     Hash      : 3091de5eea1881371244075f892cc1b8cc8bf25e749cc...

#19  2026-05-05 18:00  [CORROMPIDO]
     T.Int=27.9C  T.Ext=13.3C  Hum=31.3%
     Hash ant.: 3091de5eea1881371244075f892cc1b8cc8bf25e749cc...
     Hash      : CORROMPIDO_77a1f19cbf4dcc3f64349db610bfb8a73f...

#20  2026-05-05 19:00  [OK]
     T.Int=21.2C  T.Ext=12.8C  Hum=34.9%
     Hash ant.: CORROMPIDO_77a1f19cbf4dcc3f64349db610bfb8a73f...
     Hash      : 67c49645e7dfa65169370c72c69f0050bcdfb6e35f320...

#21  2026-05-05 20:00  [CORROMPIDO]
     T.Int=19.7C  T.Ext=6.0C  Hum=50.3%
     Hash ant.: 67c49645e7dfa65169370c72c69f0050bcdfb6e35f320...
     Hash      : CORROMPIDO_25dcd07a769228ec9ae1d84c426263c34d...

#22  2026-05-05 21:00  [OK]
     T.Int=20.1C  T.Ext=13.8C  Hum=51.1%
     Hash ant.: CORROMPIDO_25dcd07a769228ec9ae1d84c426263c34d...
     Hash      : 0c0a488e0ac33259f095b2b942644f57305afb4f16960...

#23  2026-05-05 22:00  [OK]
     T.Int=24.5C  T.Ext=12.0C  Hum=37.0%
     Hash ant.: 0c0a488e0ac33259f095b2b942644f57305afb4f16960...
     Hash      : 9689ac111d5b79ab138992952a80b2403244e53178050...

#24  2026-05-05 23:00  [OK]
     T.Int=19.1C  T.Ext=9.3C  Hum=63.5%
     Hash ant.: 9689ac111d5b79ab138992952a80b2403244e53178050...
     Hash      : 135f274db1b3001782732ef335087798ec69b15406138...

============================================================
VERIFICACION DE INTEGRIDAD
------------------------------------------------------------

  #1   2026-05-05 00:00  HASH CORRUPTO
  #2   2026-05-05 01:00  OK
  #3   2026-05-05 02:00  OK
  #4   2026-05-05 03:00  HASH CORRUPTO
  #5   2026-05-05 04:00  OK
  #6   2026-05-05 05:00  HASH CORRUPTO
  #7   2026-05-05 06:00  OK
  #8   2026-05-05 07:00  OK
  #9   2026-05-05 08:00  OK
  #10  2026-05-05 09:00  HASH CORRUPTO
  #11  2026-05-05 10:00  HASH CORRUPTO
  #12  2026-05-05 11:00  OK
  #13  2026-05-05 12:00  OK
  #14  2026-05-05 13:00  OK
  #15  2026-05-05 14:00  OK
  #16  2026-05-05 15:00  OK
  #17  2026-05-05 16:00  OK
  #18  2026-05-05 17:00  OK
  #19  2026-05-05 18:00  HASH CORRUPTO
  #20  2026-05-05 19:00  OK
  #21  2026-05-05 20:00  HASH CORRUPTO
  #22  2026-05-05 21:00  OK
  #23  2026-05-05 22:00  OK
  #24  2026-05-05 23:00  OK

  -> Blockchain corrompida. Bloques con problemas: [1, 4, 6, 10, 11, 19, 21]
